SRR23199438	SRR23199439	SRR23199440	SRR23199441	SRR23199442	SRR23199443	SRR23199444	SRR23199445	SRR23199446	SRR23199447	SRR23199448	SRR23199449
95.3189	83.5996	185.882	84.2278	0.00048114	105.281	5.01969e-08	76.5484	60.1698	97.249	100	36.7024
0	0	1.42799	0	0	0	0	0	1.28152	0	0	0
533.105	458.917	514.368	539.698	574.591	558.387	663.959	576.937	582.499	816.206	771.611	788.413
342.217	66.9545	280.098	68.8734	72.088	261.048	129.728	202.242	126.074	262.029	145.933	242.547
1585.37	1962.37	1696.77	2305.99	2721.25	2129.6	1551.36	1406.8	1464.52	1944.46	1813.85	1818.11
0	0	0	2.07153	0	2.03487	0	0	2.12137	0	0	0
1639.28	1498.67	1453.39	1486.9	1323.97	1546.34	1754.9	1746.12	1790.87	1644.39	1637.15	1608.8
1054.36	1083.61	1136.29	941.817	881.454	972.731	1158.36	1078.13	1158.5	846.595	824.735	802.809
3.36725	2.46194	0	5.16153	1.05308	3.07083	1.13516	4.06008	1.05913	0	3.34266	2.3587
136.682	106.189	105.833	128.517	142.843	107.095	145.34	143.998	146.56	165.881	143.352	130.593
0	0	5.63355	0	0	2.20717	0	0	0	0	0	0
14.0598	8.17993	5.76019	6.17955	4.03697	6.00254	11.0573	8.84384	11.444	12.7763	4.4929	4.10368
3.30599	6.04223	6	3	0	1	0	3.36006	3.33658	1	4	1
79.7373	65.8177	64.4654	106.43	83.7696	81.3599	151.355	127.561	157.033	170.12	117.828	167.84
181.612	185.804	185.527	240.846	242.219	327.394	251.77	223.132	271.256	327.006	295.492	336.829
0	0	0	0	0	0	0	0	0	0	0	0
0.113519	3.19346e-07	0.282714	0	0	0	2.56476e-07	12.7267	1.58687e-07	3.86842e-07	2.71583e-08	0
286.624	238.756	239.857	390.78	440.879	345.329	207.703	286.432	242.355	445.928	468.95	494.372
6.38559	16.4739	32.9413	16.9298	21.909	37.8388	12.009	0	17.8949	18.104	27.4215	27.1463
0	0	0	0	0	0	0	0	0	0	0	0
0	220.678	181.096	71.6821	61.0716	0	103.751	32.2088	34.9012	0	0	0
0	6.23325	0	0	0	9.19821	24.7736	7.4781	22.6097	16.6194	12.1495	10.7876
10.0851	10.1029	26.5403	44.7602	34.5801	30.2747	7	14.454	16.018	5.77019	11.1603	14.3068
123.928	130.205	126.239	30.8722	37.9319	29.5415	27	23.6669	33.7511	2.57271	2	2
961.78	1017.39	959.695	1125.24	1092.02	1145.15	1097.76	1041.64	1020.48	979.257	951.206	912.052
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
728.801	810.382	800.004	794.095	1009.68	905.624	737.325	654.078	742.635	1064.01	836.962	874.585
74.9061	67.9662	125.354	51.3176	41.7098	27.9394	84.5648	75.9914	77.8409	42.3621	72.6623	50.1834
477.929	967.686	763.485	468.792	665.442	495.908	787.349	408.897	725.341	502.654	559.701	653.579
2580.38	2476	2436	2000	1915	2227	2346	2391	2421	1972	2103.58	2054
270.89	203.622	231.076	310.62	104.025	83.6721	128.638	421.624	175.513	191.216	343.412	112.231
58.0687	29.4509	24.1247	50.5636	42.7714	37.722	46.324	29.2042	67.7651	56.1257	99.5255	62.7394
0	0	0	0	0	0	0	0	0	0	0	0
181.223	260.379	148.132	329.957	297.815	195.846	252.028	236.686	311.382	809.193	494.953	423.121
237.849	242.877	264.107	277.812	338.051	184.392	326.384	226.966	221.648	273.168	251.772	261.605
79.9084	145.413	0	0	126.215	151.416	139.263	169.091	170.662	55.1723	51.9622	0
740.757	718.772	740.703	386.981	312.8	430.749	615.738	571.246	578.849	291.406	310.892	276.731
806.769	665.416	546.774	965.178	567.807	443.133	666.5	581.295	424.054	699.542	416.072	684.804
1427.97	1291.52	1379.73	919.693	928.925	630.823	1425.52	1388.95	1497.22	798.895	796.025	846.974
635.247	660.813	638.664	644.871	552.078	663.551	660.418	668.111	604.646	745.816	664.495	679.817
0	0	0	0	0	0	0	0	0	0	0	0
621.258	680.159	693.859	832.019	732.865	740.064	833.988	811.699	872.979	669.22	655.044	593.94
274.533	218.197	284.789	491.437	453.402	479.452	350.531	339.003	332.365	431.784	356.777	337.769
0	0	0	0	0	0	0	0	0	0	0	0
270.719	238.729	260.555	156.587	125.378	158.899	363.966	343.914	381.579	161.75	186.273	206.314
